Wioska atakujÄ…ca	liczba atakĂłw
629|461	80
628|424	56
586|355	32
588|351	24
581|352	24
659|476	24
582|355	24
665|477	24
636|426	24
640|424	16
639|418	16
588|360	16
635|428	16
637|418	16
576|369	16
582|359	16
635|417	16
577|364	16
638|421	16
609|394	8
608|393	8
588|355	8
594|429	8
650|427	8
574|368	8
582|360	8
587|348	8
606|423	8
656|452	8
573|374	8
601|395	8
580|362	8
588|403	8
602|395	8
595|432	8
576|368	8
634|423	8
576|363	8
637|466	8
577|368	8
603|393	8
592|353	8
592|357	8
585|354	8
578|362	8
626|452	8
595|405	8
578|366	8
587|362	8
577|370	8
592|429	8
579|363	8
579|365	8
586|352	8
579|364	8
631|417	8
631|416	8
587|355	8
649|430	8
597|408	8
